,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
937,1,8,8,,,7,14,,5,9,1,,,,30,,,3,25,15,25,,6,4,,,,,,,,,,,,
938,6,,12,,,9,13,3,5,,1,,,,10,,,,32,3,13,1,,2,,,1,,,,,,,,,
939,7,12,21,,4,5,29,11,5,1,6,2,3,,53,1,,15,23,18,4,1,,3,,2,,,,,,,,,,3
940,7,12,21,,4,5,29,11,5,1,6,2,3,,53,1,,15,23,18,4,1,,3,,2,,,,,,,,,,3
941,10,10,13,,8,6,36,7,5,2,2,,1,,74,,,14,31,8,4,10,7,2,,1,,,,1,,,,,,
942,5,1,7,,2,4,7,,5,,,,,,22,,,3,8,3,7,,,2,,,,,,,,,,,,3
943,5,1,7,,2,4,7,,5,,,,,,22,,,3,8,3,7,,,2,,,,,,,,,,,,3
944,8,21,7,,,8,,4,5,4,,,3,9,28,4,,8,22,4,8,,30,2,,,,,,,,,,,,
945,7,2,2,,,6,7,1,5,,3,,6,1,26,1,,4,16,4,7,,,,,,,,,,,,,,,
946,6,5,10,,2,18,17,15,5,5,3,1,,,54,1,,4,30,8,19,,1,4,,1,,,,,,2,,,,
947,1,1,1,,,4,7,2,5,6,,1,,,18,,,4,13,2,5,1,,2,,,,1,,,,,,,,
948,2,,1,,,1,5,3,5,,1,,,,46,,,3,29,1,2,,,,,,,,,,,,,,,
949,4,7,3,,,11,8,2,5,1,,,,2,7,,,2,9,2,7,1,1,,1,1,,,,,,,,,,
950,9,3,1,1,3,20,15,5,5,5,,,,5,30,4,,11,7,6,9,2,6,,,,,,,,,,,,,
951,,,,,,,35,,5,,,,,,19,,,,12,,,,,,,,,,,,,,,,,
952,4,2,11,,9,25,37,31,5,10,7,2,,1,115,1,,14,48,13,21,,2,,2,1,,,,,,,,,1,
953,14,10,6,,,25,44,7,5,6,3,,,,95,1,,9,72,33,12,6,2,5,,2,,,,,,3,,,,
954,5,7,3,,,14,37,6,5,5,,,,1,71,,,11,64,7,16,,3,1,,,,,,1,,,,,,
955,5,7,3,,,14,37,6,5,5,,,,1,71,,,11,64,7,16,,3,1,,,,,,1,,,,,,
956,31,8,3,,,20,26,7,5,4,2,,,1,44,2,,12,67,6,49,,3,1,,,,,,,,,,,,
957,5,3,2,,,3,22,1,5,3,1,,,,36,3,,2,36,4,2,,1,1,,,,,,3,,,,,,1
958,12,2,1,,2,18,24,1,5,1,3,,,2,25,1,,5,11,13,11,,1,2,1,,,1,,,,,,,,
959,3,7,12,,2,18,25,11,5,3,6,1,,,54,,,3,19,11,17,,1,2,,1,,,,,,,,,,
960,5,1,2,,,11,5,3,5,2,,1,,,25,1,,1,33,4,2,,1,,,,,,,,,,,,,
