,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,WDT,WP,CC,JJR,FW,PDT,NNPS,JJS,$,WP$,EX,RBS,POS
86,4.0,6.0,12.0,,1.0,8.0,43.0,8.0,2,4.0,1.0,1.0,,,55.0,,1.0,11.0,21.0,13.0,3.0,,,,,,2.0,,,,,,,,,
87,24.0,7.0,7.0,,,16.0,34.0,7.0,2,3.0,6.0,5.0,1.0,1.0,40.0,2.0,,17.0,48.0,18.0,16.0,,1.0,,,7.0,1.0,,,,,,,,,
88,,,5.0,,1.0,7.0,5.0,5.0,2,1.0,4.0,2.0,,,17.0,,,3.0,32.0,2.0,7.0,,2.0,,,,1.0,,,,,,,,,
89,14.0,5.0,19.0,1.0,5.0,33.0,51.0,12.0,2,9.0,10.0,4.0,7.0,,91.0,1.0,,18.0,58.0,20.0,40.0,2.0,1.0,,,8.0,1.0,,,,,,,,,
90,11.0,8.0,7.0,,6.0,9.0,32.0,9.0,2,5.0,8.0,2.0,2.0,,57.0,3.0,,11.0,40.0,6.0,7.0,,4.0,,,,1.0,,1.0,,1.0,,1.0,,,
91,4.0,2.0,4.0,,4.0,10.0,16.0,14.0,2,4.0,2.0,4.0,,1.0,36.0,,,9.0,38.0,10.0,2.0,,1.0,,,1.0,2.0,,,1.0,,,,,,
92,5.0,19.0,2.0,1.0,4.0,10.0,16.0,9.0,2,3.0,2.0,3.0,2.0,1.0,58.0,1.0,,11.0,58.0,3.0,7.0,,6.0,1.0,,4.0,1.0,1.0,,,,,,,,
93,3.0,15.0,6.0,,1.0,22.0,19.0,10.0,2,7.0,1.0,4.0,2.0,,28.0,,,6.0,43.0,26.0,21.0,2.0,3.0,,,3.0,1.0,,,,,,,,,
94,5.0,5.0,12.0,,2.0,20.0,16.0,9.0,2,6.0,7.0,3.0,,1.0,57.0,3.0,,6.0,39.0,11.0,22.0,,2.0,,,3.0,1.0,,,,,,,,,
95,3.0,3.0,5.0,,2.0,11.0,9.0,5.0,2,,3.0,2.0,,1.0,25.0,1.0,1.0,6.0,28.0,3.0,15.0,,,,3.0,2.0,1.0,,,,,,,,,
96,,,,,1.0,,1.0,3.0,2,,2.0,1.0,,,,,,,22.0,,,,,,,,1.0,,,,,,,,,
97,10.0,4.0,3.0,,1.0,21.0,25.0,14.0,2,11.0,4.0,4.0,1.0,,54.0,1.0,,13.0,45.0,10.0,12.0,,7.0,1.0,,2.0,1.0,,,1.0,,,,,,
98,6.0,4.0,3.0,,1.0,11.0,20.0,9.0,2,5.0,4.0,1.0,3.0,1.0,38.0,1.0,,14.0,45.0,6.0,15.0,1.0,2.0,1.0,2.0,9.0,1.0,1.0,,,,,,,,
99,,3.0,3.0,,,13.0,20.0,9.0,2,,5.0,6.0,,1.0,28.0,,,7.0,47.0,18.0,6.0,,,,,,1.0,1.0,,1.0,,,,,,
100,2.0,7.0,6.0,,2.0,40.0,51.0,15.0,2,3.0,4.0,5.0,,2.0,61.0,1.0,,11.0,125.0,8.0,31.0,,1.0,1.0,,6.0,1.0,,2.0,,,,,,,
101,9.0,6.0,4.0,,1.0,4.0,10.0,7.0,2,4.0,5.0,4.0,,,35.0,1.0,,15.0,30.0,3.0,8.0,1.0,2.0,,,,1.0,,,,,,,,,
102,,,,,,,2.0,4.0,2,,1.0,2.0,,,,,,,21.0,,,,,,,,1.0,,,,,,,,,
103,,1.0,2.0,,1.0,4.0,3.0,3.0,2,1.0,3.0,4.0,,,5.0,,,,22.0,1.0,4.0,,,,2.0,,1.0,,,,,,,,,
104,10.0,11.0,13.0,,7.0,22.0,28.0,10.0,2,7.0,6.0,2.0,2.0,3.0,66.0,,,16.0,46.0,19.0,11.0,,2.0,,,3.0,2.0,,,,,,,,,
105,27.0,9.0,8.0,,2.0,21.0,46.0,10.0,2,2.0,4.0,1.0,5.0,1.0,54.0,11.0,4.0,3.0,44.0,4.0,24.0,3.0,2.0,,,11.0,1.0,,,,,,,,,
106,12.0,1.0,14.0,1.0,1.0,20.0,16.0,5.0,2,7.0,7.0,6.0,1.0,,28.0,,1.0,18.0,39.0,14.0,20.0,,1.0,,6.0,3.0,1.0,,,,,,,,,
107,25.0,3.0,12.0,1.0,6.0,43.0,37.0,17.0,2,8.0,7.0,8.0,,1.0,105.0,5.0,,15.0,83.0,20.0,32.0,1.0,3.0,2.0,,4.0,2.0,,,,,,,,,
108,6.0,7.0,9.0,,5.0,12.0,20.0,14.0,2,7.0,6.0,3.0,,,60.0,,,4.0,55.0,20.0,6.0,1.0,3.0,1.0,,,1.0,,,,,,,,,
109,1.0,,5.0,,2.0,20.0,14.0,7.0,2,1.0,2.0,3.0,,,23.0,1.0,1.0,4.0,31.0,4.0,9.0,,,,,1.0,1.0,,,,,,,,,
110,11.0,1.0,1.0,,4.0,14.0,21.0,12.0,2,6.0,3.0,2.0,2.0,,58.0,1.0,,6.0,52.0,6.0,13.0,,,,1.0,3.0,1.0,,,,1.0,,,,,
111,1.0,,,,1.0,,1.0,4.0,2,,3.0,1.0,1.0,,1.0,,,,18.0,,1.0,,,,,,1.0,,,,,,,,,
112,10.0,11.0,21.0,,4.0,22.0,38.0,6.0,2,7.0,7.0,2.0,,1.0,36.0,3.0,,9.0,37.0,3.0,36.0,2.0,5.0,,,4.0,1.0,,,,,,,,,
113,,,,,,,2.0,4.0,2,,1.0,3.0,,,1.0,,,1.0,21.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,
114,,,,,,,2.0,3.0,2,,1.0,2.0,,,,,,,22.0,1.0,,,,,1.0,,1.0,,,,,,,,,
115,,,,,,,2.0,4.0,2,,1.0,2.0,,,,,,,22.0,,,,,,,,1.0,,,,,,,,,
116,3.0,6.0,1.0,,,10.0,12.0,7.0,2,1.0,1.0,5.0,,,20.0,,,1.0,30.0,5.0,6.0,2.0,,,,6.0,1.0,,,,,,,,,
117,1.0,,,,1.0,,1.0,4.0,2,,3.0,1.0,1.0,,1.0,,,,18.0,,1.0,,,,,,1.0,,,,,,,,,
118,17.0,5.0,7.0,,3.0,25.0,27.0,14.0,2,6.0,3.0,5.0,2.0,1.0,55.0,2.0,,12.0,56.0,9.0,23.0,1.0,2.0,,1.0,5.0,1.0,1.0,,,1.0,,,,,
119,14.0,,10.0,,1.0,21.0,30.0,8.0,2,6.0,5.0,6.0,,,40.0,1.0,,9.0,37.0,9.0,20.0,3.0,,,,2.0,1.0,,,,,,,,,
120,4.0,3.0,6.0,,1.0,38.0,40.0,12.0,2,16.0,4.0,3.0,2.0,,55.0,,,14.0,42.0,15.0,27.0,1.0,3.0,,1.0,4.0,1.0,,,,,,,,1.0,
121,21.0,3.0,2.0,,1.0,20.0,15.0,9.0,2,3.0,5.0,1.0,1.0,,37.0,1.0,,2.0,46.0,8.0,16.0,4.0,2.0,,,,1.0,,,1.0,1.0,,,2.0,,
122,11.0,4.0,9.0,1.0,2.0,21.0,31.0,13.0,2,6.0,2.0,4.0,1.0,,73.0,1.0,,9.0,50.0,21.0,9.0,,1.0,,,3.0,1.0,1.0,,,1.0,,,1.0,,
123,2.0,3.0,2.0,,,3.0,10.0,5.0,2,1.0,2.0,3.0,2.0,,14.0,,,4.0,36.0,8.0,4.0,,1.0,,,,1.0,,,,,,,,,
124,14.0,2.0,19.0,,6.0,25.0,32.0,10.0,2,7.0,7.0,2.0,,,47.0,3.0,,16.0,48.0,3.0,32.0,,11.0,,2.0,1.0,2.0,,,,,,,,,
125,9.0,5.0,18.0,,4.0,26.0,32.0,17.0,2,9.0,14.0,7.0,4.0,,67.0,1.0,,8.0,70.0,13.0,17.0,,8.0,3.0,2.0,2.0,1.0,,,1.0,,,,1.0,,
126,8.0,2.0,1.0,,1.0,15.0,20.0,17.0,2,8.0,5.0,2.0,1.0,,48.0,2.0,,8.0,38.0,4.0,5.0,,1.0,,1.0,4.0,1.0,,,,,,,,,
127,5.0,1.0,4.0,,5.0,6.0,10.0,5.0,2,3.0,1.0,4.0,2.0,,32.0,,,19.0,37.0,4.0,5.0,1.0,6.0,,,,1.0,,,4.0,1.0,,,,,
128,9.0,7.0,3.0,,2.0,9.0,24.0,16.0,2,4.0,2.0,4.0,,,32.0,5.0,,11.0,49.0,7.0,6.0,,4.0,,,7.0,1.0,,,,2.0,,,,,
129,6.0,5.0,27.0,,2.0,22.0,81.0,12.0,2,4.0,7.0,4.0,,,48.0,1.0,,4.0,62.0,19.0,10.0,1.0,,,,2.0,1.0,,,,1.0,,,,,
130,5.0,1.0,10.0,,3.0,7.0,21.0,7.0,2,3.0,1.0,3.0,1.0,,18.0,2.0,,17.0,32.0,8.0,,,,,,5.0,1.0,,,,3.0,,,,,
131,3.0,1.0,9.0,,4.0,17.0,25.0,10.0,2,1.0,4.0,3.0,1.0,1.0,52.0,1.0,,12.0,25.0,11.0,13.0,,,,,,1.0,1.0,,,,,,,,
132,9.0,5.0,8.0,,7.0,29.0,33.0,14.0,2,5.0,2.0,4.0,,,51.0,,,6.0,40.0,38.0,8.0,,2.0,,,,1.0,1.0,,,5.0,,,,,
133,14.0,8.0,4.0,,4.0,19.0,17.0,17.0,2,,10.0,13.0,1.0,1.0,38.0,5.0,,26.0,31.0,11.0,1.0,,10.0,1.0,,,2.0,,,,2.0,,,,,
134,2.0,11.0,3.0,,1.0,7.0,8.0,15.0,2,1.0,2.0,2.0,2.0,,34.0,1.0,,13.0,37.0,4.0,8.0,,,,,6.0,1.0,,,,,,,,,
135,4.0,4.0,15.0,,4.0,22.0,14.0,8.0,2,3.0,4.0,5.0,4.0,,24.0,,,10.0,25.0,5.0,30.0,3.0,1.0,,,1.0,1.0,,,,,,,,,
136,,,,,1.0,,1.0,3.0,2,,2.0,1.0,,,,,,,22.0,,,,,,,,1.0,,,,,,,,,
137,8.0,9.0,6.0,,5.0,22.0,38.0,9.0,2,3.0,3.0,3.0,,,52.0,,,6.0,45.0,13.0,15.0,,4.0,,2.0,3.0,1.0,1.0,,,,,,,,
138,13.0,10.0,19.0,,6.0,26.0,44.0,16.0,1,2.0,3.0,1.0,5.0,3.0,35.0,1.0,,22.0,35.0,18.0,26.0,1.0,1.0,,1.0,14.0,,,,,,,,,,
