,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
1,4,4,15,3,4,21,11,14,3,2,,1,,40,2,1,12,36,18,14,,1,1,1,,,1,,,,,,,,
1,8,12,6,,2,14,17,9,2,8,1,,4,50,5,,9,38,6,15,,2,10,1,,,,,,,,,,,
1,8,20,8,3,11,11,10,2,3,7,3,,,33,1,,31,37,25,16,,,2,1,1,,,,,,,,,,
1,6,7,6,,1,23,11,6,3,3,2,,,29,1,1,14,37,8,14,3,,2,1,,,,,,,,,,,
1,6,17,10,,4,19,23,13,3,7,7,2,1,54,2,5,10,58,8,21,1,,1,1,,3,1,,,,,,,,
1,10,13,8,,2,5,26,6,11,,1,,3,26,2,,4,46,18,4,4,3,2,3,,,,,,,3,,,,
1,14,5,7,,2,40,29,10,6,7,3,,7,39,1,,31,40,11,25,,,1,1,,,,,,,,,,,
1,5,1,6,,6,20,33,6,10,2,1,,,52,1,5,10,33,6,17,,3,5,1,,,,,,,,,,,
1,14,6,9,,,30,18,14,6,4,,9,,31,1,,19,43,16,32,,,5,1,1,,,,,,1,,,,
1,8,7,11,,2,19,17,5,3,,3,,,44,5,,15,42,4,25,,8,5,1,2,,,,,,,,,,
1,20,1,,,2,22,43,8,,,1,2,,57,2,8,18,42,12,14,1,7,1,1,,,,,2,,,,,,
1,4,4,4,,3,20,13,2,5,3,1,,,12,1,,5,23,7,38,,1,1,10,,1,,,,,,,,,
1,23,2,17,,5,8,55,3,3,1,1,1,4,39,1,,8,54,40,17,,,3,1,,,1,,,,,,,,
1,4,2,3,,,14,9,8,4,6,,2,,31,1,,9,32,4,21,,,5,1,,,,,,,,,,,1
1,36,1,1,,,42,74,1,1,7,1,1,1,56,45,,3,22,8,54,,,10,1,,,,,,1,,,,,
1,27,5,6,,,28,21,4,3,3,1,1,,25,2,,7,58,13,24,,1,6,1,,,3,,,,,,,,
1,5,10,9,,4,20,25,4,6,3,3,,,33,1,,6,50,9,15,,,5,1,,,,,,,,,,,
1,1,,,,,1,2,1,,,1,,,,1,,,20,1,2,,,1,2,,,,,,,,,,,
1,6,3,2,,,29,12,9,,1,4,,1,8,2,,6,35,8,38,1,3,2,9,,,1,,,,,,,,
1,8,31,4,,1,16,10,2,10,2,1,,1,19,1,,23,53,3,22,6,1,4,1,1,,,,,,,,,,
1,11,1,19,,,19,14,8,5,,1,4,2,22,1,,21,57,14,20,1,3,1,1,,,,,2,,,,,,
1,1,,,,,1,2,2,,,1,,,,1,,1,17,1,2,,,1,1,,,1,,,,,,,,
1,12,5,8,,1,20,17,5,,2,,3,,25,5,,48,52,3,21,,,1,3,1,,,,,,,,,,2
1,5,8,22,2,2,29,14,30,,,1,,,53,1,,3,73,4,16,,,1,1,,,,,,,,,,,
2,8,,,,,23,4,10,,1,1,,,,,,26,27,3,26,4,,,,1,,,,,,2,,,,
2,,,,,,,2,4,,1,2,,,,,,1,19,1,,,,,,1,,1,,,,,,,,
2,7,5,6,,1,17,23,9,3,5,3,2,1,31,,,13,32,7,17,,,,,1,,,,,,1,,,,
2,7,1,12,,5,17,14,13,4,5,2,,,43,,,21,41,9,19,1,1,1,,1,,,,,,1,,,,
2,8,7,1,,3,17,13,16,4,5,4,2,,33,,,10,36,6,17,,1,7,,5,,,,,,,,,,4
2,15,8,11,,3,13,15,8,6,4,3,7,1,52,2,,12,53,7,15,4,2,4,,4,,,,,,2,,,,
2,11,4,6,,6,10,13,10,1,4,2,,,37,,,10,35,2,2,,3,1,,1,,,,,,,,,,
2,15,4,8,,1,13,17,6,6,10,4,5,3,60,3,,12,54,7,12,2,1,5,,4,,,,,,,,,,
2,1,,,,1,,1,4,,3,1,1,,1,,,,18,,1,,,,,1,,,,,,,,,,
2,11,1,7,,3,19,23,16,1,6,22,,,41,2,,14,45,11,14,,,4,4,1,2,1,,,,,,,,1
2,3,15,6,,1,22,19,9,7,1,4,2,,28,,,6,44,26,21,2,3,3,,1,,,,,,,,,,
